rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,-0.05,0.5,1431455594.67,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.0715632527925,0.5,1.75598502159,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.298585691771,0.5,0.420864105225,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.487234304915,0.5,0.257912874222,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.638306165106,0.5,0.196871042252,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.64147025774,0.5,0.195899963379,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.795130639601,0.5,0.158041954041,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.729993764551,0.5,0.172143936157,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,100,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,72.975294018,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,44.2237005271,
rapidez, referencia, tiempo, pid,0.862047394354,0.5,0.145773887634,15.4721070361,
rapidez, referencia, tiempo, pid,0.812047394354,0.5,0.145773887634,-13.2794864548,
rapidez, referencia, tiempo, pid,0.812047394354,0.5,0.145773887634,98.9406147671,
rapidez, referencia, tiempo, pid,0.800322122342,0.5,0.147783994675,-33.7533493944,
rapidez, referencia, tiempo, pid,0.800322122342,0.5,0.147783994675,79.3979013392,
rapidez, referencia, tiempo, pid,0.800322122342,0.5,0.147783994675,55.5481520727,
rapidez, referencia, tiempo, pid,0.800322122342,0.5,0.147783994675,31.6984028063,
rapidez, referencia, tiempo, pid,0.800322122342,0.5,0.147783994675,7.8486535398,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,-16.0010957267,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,100,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,81.241795166,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,61.3627406124,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,41.4836860587,
rapidez, referencia, tiempo, pid,0.750322122342,0.5,0.147783994675,21.6046315051,
rapidez, referencia, tiempo, pid,0.88010040491,0.5,0.13510799408,-10,
rapidez, referencia, tiempo, pid,0.83010040491,0.5,0.13510799408,-10,
rapidez, referencia, tiempo, pid,0.78010040491,0.5,0.13510799408,-10,
rapidez, referencia, tiempo, pid,0.73010040491,0.5,0.13510799408,-10,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,-54.0602515431,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,68.6382739459,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,54.3357994349,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,40.0333249239,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,25.7308504129,
rapidez, referencia, tiempo, pid,0.68010040491,0.5,0.13510799408,11.4283759019,
rapidez, referencia, tiempo, pid,0.63010040491,0.5,0.13510799408,-2.87409860908,
rapidez, referencia, tiempo, pid,0.63010040491,0.5,0.13510799408,100,
rapidez, referencia, tiempo, pid,0.63010040491,0.5,0.13510799408,100,
rapidez, referencia, tiempo, pid,0.63010040491,0.5,0.13510799408,100,
rapidez, referencia, tiempo, pid,0.696019212437,0.5,0.168446063995,-10,
rapidez, referencia, tiempo, pid,0.646019212437,0.5,0.168446063995,-10,
rapidez, referencia, tiempo, pid,0.646019212437,0.5,0.168446063995,12.813763969,
rapidez, referencia, tiempo, pid,0.646019212437,0.5,0.168446063995,1.21780967314,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,-10.3781446227,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,100,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,100,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,100,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,96.121817045,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,88.496557462,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,80.8712978789,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,73.2460382959,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,65.6207787128,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,57.9955191298,
rapidez, referencia, tiempo, pid,0.596019212437,0.5,0.168446063995,50.3702595467,
rapidez, referencia, tiempo, pid,0.682837730014,0.5,0.171475887299,-10,
rapidez, referencia, tiempo, pid,0.632837730014,0.5,0.171475887299,-10,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,-94.0727834551,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,36.3497498132,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,29.7712830815,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,23.1928163497,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,16.614349618,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,10.0358828863,
rapidez, referencia, tiempo, pid,0.582837730014,0.5,0.171475887299,3.45741615453,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,-3.1210505772,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.532837730014,0.5,0.171475887299,100,
rapidez, referencia, tiempo, pid,0.637412722881,0.5,0.182807207108,-10,
rapidez, referencia, tiempo, pid,0.587412722881,0.5,0.182807207108,-10,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,-64.0406929785,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,69.9892170028,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,67.0181269841,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,64.0470369654,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,61.0759469468,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,58.1048569281,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,55.1337669094,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,52.1626768907,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,49.1915868721,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,46.2204968534,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,43.2494068347,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,40.278316816,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,37.3072267974,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,34.3361367787,
rapidez, referencia, tiempo, pid,0.537412722881,0.5,0.182807207108,31.36504676,
rapidez, referencia, tiempo, pid,0.596974943144,0.5,0.194233179092,-10,
rapidez, referencia, tiempo, pid,0.546974943144,0.5,0.194233179092,-10,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,-17.9391016472,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.496974943144,0.5,0.194233179092,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,-26.4262573455,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.500110547358,0.5,0.228434085846,100,
rapidez, referencia, tiempo, pid,0.605021677165,0.5,0.191847085953,-10,
rapidez, referencia, tiempo, pid,0.555021677165,0.5,0.191847085953,-10,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,-65.0438562731,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,71.5583527875,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,71.1595618481,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,70.7607709087,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,70.3619799694,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,69.96318903,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,69.5643980906,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,69.1656071513,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,68.7668162119,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,68.3680252725,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,67.9692343331,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,67.5704433938,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,67.1716524544,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,66.772861515,
rapidez, referencia, tiempo, pid,0.505021677165,0.5,0.191847085953,66.3740705757,
rapidez, referencia, tiempo, pid,0.589339034254,0.5,0.196552991867,-10,
rapidez, referencia, tiempo, pid,0.539339034254,0.5,0.196552991867,-10,
rapidez, referencia, tiempo, pid,0.489339034254,0.5,0.196552991867,-48.9404560525,
rapidez, referencia, tiempo, pid,0.489339034254,0.5,0.196552991867,88.907172754,
rapidez, referencia, tiempo, pid,0.489339034254,0.5,0.196552991867,89.7538015604,
rapidez, referencia, tiempo, pid,0.489339034254,0.5,0.196552991867,90.6004303668,
