rapidez, referencia, tiempo, pid,-0.05,0.33,1.50529718399,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.57200217247,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.5844180584,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.59700512886,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.60895419121,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.6221871376,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.63478112221,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.64656710625,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.65870904922,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.67205405235,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.68465805054,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.69648098946,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.70871710777,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.72213101387,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.73472499847,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.74643206596,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.7591650486,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.77201199532,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.78454899788,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.7957110405,100,
rapidez, referencia, tiempo, pid,-0.05,0.33,1.80887198448,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.81772398949,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.83030700684,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.84315609932,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.85573196411,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.86778712273,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.88250398636,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.89328718185,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.90514206886,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.91735911369,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.93023300171,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.94311904907,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.95469212532,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.96735596657,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.98023915291,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,1.99233198166,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.00449609756,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.017359972,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.02939915657,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.04234313965,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.05507802963,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.06756806374,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.07956600189,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.09208798409,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.10399508476,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.11662507057,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.12924098969,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.1420841217,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.15506505966,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.16751909256,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.17892313004,100,
rapidez, referencia, tiempo, pid,0.0691635425378,0.33,2.19173407555,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.20137119293,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.2131690979,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.22603106499,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.23860001564,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.25146698952,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.26329612732,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.27564311028,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.28857898712,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.30043196678,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.31263208389,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.32569217682,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.33857512474,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.35045814514,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.36264419556,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.37551617622,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.38963413239,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.39996814728,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.412940979,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.42584896088,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.43767905235,100,
rapidez, referencia, tiempo, pid,0.327522031881,0.33,2.45020103455,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.45989203453,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.47188210487,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.48445510864,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.49733996391,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.50913405418,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.52199411392,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.53427910805,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.54733419418,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.55879497528,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.5720500946,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.5842859745,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.59631419182,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.60853600502,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.62198114395,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.63343000412,100,
rapidez, referencia, tiempo, pid,0.485566323,0.33,2.6463470459,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.65588307381,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.66888213158,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.68004512787,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.69267511368,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.70529317856,100,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.71813106537,79.0143765019,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.73053097725,54.2431398016,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.74363803864,29.4719031014,
rapidez, referencia, tiempo, pid,0.641925727006,0.33,2.75588202477,4.70066640117,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.76757907867,-20.0705702991,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.78006005287,96.1298877135,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.792730093,75.3293457261,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.80502414703,54.5288037387,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.81785106659,33.7282617512,
rapidez, referencia, tiempo, pid,0.591925727006,0.33,2.83108711243,12.9277197638,
rapidez, referencia, tiempo, pid,0.541925727006,0.33,2.84219813347,-7.87282222362,
rapidez, referencia, tiempo, pid,0.590586946545,0.33,2.85216999054,-10,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.86402606964,-49.5636801306,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.87656998634,70.7137903648,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.88928103447,53.9902608602,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.90249609947,37.2667313556,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.91396403313,20.543201851,
rapidez, referencia, tiempo, pid,0.540586946545,0.33,2.92654109001,3.8196723464,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,2.94218802452,-12.9038571582,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,2.95487809181,100,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,2.96768903732,98.5914732582,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,2.97924017906,85.8386384664,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,2.99142599106,73.0858036746,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,3.00261998177,60.3329688828,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,3.01418805122,47.580134091,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,3.02630496025,34.8272992992,
rapidez, referencia, tiempo, pid,0.490586946545,0.33,3.04119205475,22.0744645074,
rapidez, referencia, tiempo, pid,0.582812887251,0.33,3.05065011978,-10,
rapidez, referencia, tiempo, pid,0.532812887251,0.33,3.06354904175,-10,
rapidez, referencia, tiempo, pid,0.482812887251,0.33,3.07555699348,-10,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.08792996407,-28.9904917012,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.10065102577,99.8457365425,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.11365413666,91.6809647861,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.12643504143,83.5161930298,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.13925719261,75.3514212735,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.15145611763,67.1866495171,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.16352701187,59.0218777608,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.17655611038,50.8571060045,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.18858218193,42.6923342481,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.20094513893,34.5275624918,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.21355700493,26.3627907355,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.22656798363,18.1980189791,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.23858308792,10.0332472228,
rapidez, referencia, tiempo, pid,0.432812887251,0.33,3.25076317787,1.86847546645,
rapidez, referencia, tiempo, pid,0.382812887251,0.33,3.26220798492,-6.29629628989,
rapidez, referencia, tiempo, pid,0.517032354941,0.33,3.27217197418,-10,
rapidez, referencia, tiempo, pid,0.467032354941,0.33,3.28370213509,-10,
rapidez, referencia, tiempo, pid,0.417032354941,0.33,3.29509115219,-10,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.30655503273,-14.5278033547,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.31788110733,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.33144402504,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.34278106689,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.35429215431,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.36659312248,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.37938904762,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.3928501606,100,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.404266119,98.9461284905,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.41708898544,96.0052449712,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.42944097519,93.0643614518,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.44157409668,90.1234779325,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.45357704163,87.1825944132,
rapidez, referencia, tiempo, pid,0.367032354941,0.33,3.47032117844,84.2417108938,
rapidez, referencia, tiempo, pid,0.557604281756,0.33,3.47961711884,-10,
rapidez, referencia, tiempo, pid,0.507604281756,0.33,3.4915831089,-10,
rapidez, referencia, tiempo, pid,0.457604281756,0.33,3.50408911705,-10,
rapidez, referencia, tiempo, pid,0.407604281756,0.33,3.51660513878,-10,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.53072810173,-97.4474182705,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.542730093,37.3614182172,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.55525112152,35.1692547048,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.567882061,32.9770911925,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.58039307594,30.7849276801,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.5924680233,28.5927641678,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.60504007339,26.4006006554,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.61759614944,24.2084371431,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.63048315048,22.0162736307,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.64236903191,19.8241101183,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.65623307228,17.631946606,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.66906714439,15.4397830936,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.68118309975,13.2476195813,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.69348406792,11.0554560689,
rapidez, referencia, tiempo, pid,0.357604281756,0.33,3.7063369751,8.86329255656,
rapidez, referencia, tiempo, pid,0.482643940833,0.33,3.71553516388,-10,
rapidez, referencia, tiempo, pid,0.432643940833,0.33,3.72786307335,-10,
rapidez, referencia, tiempo, pid,0.382643940833,0.33,3.74062108994,-10,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.75205802917,-10,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.76341509819,36.4983505741,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.774944067,36.2883849363,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.78845310211,36.0784192986,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.79984712601,35.8684536608,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.81211018562,35.6584880231,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.82494211197,35.4485223853,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.83833098412,35.2385567476,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.85072302818,35.0285911099,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.86358213425,34.8186254721,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.87563300133,34.6086598344,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.88933300972,34.3986941966,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.90064001083,34.1887285589,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.91375899315,33.9787629211,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.92582702637,33.7687972834,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.93798303604,33.5588316456,
rapidez, referencia, tiempo, pid,0.332643940833,0.33,3.95140004158,33.3488660079,
rapidez, referencia, tiempo, pid,0.46396736404,0.33,3.95961904526,-10,
rapidez, referencia, tiempo, pid,0.41396736404,0.33,3.97160196304,-10,
rapidez, referencia, tiempo, pid,0.36396736404,0.33,3.9838681221,-10,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,3.99567914009,-87.0920309493,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.00672602654,51.1821831075,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.01871204376,52.4553971642,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.03021407127,53.728611221,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.04224205017,55.0018252777,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.05532503128,56.2750393345,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.06707811356,57.5482533912,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.08013796806,58.821467448,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.09227800369,60.0946815047,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.10513710976,61.3678955615,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.11720514297,62.6411096182,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.12949109077,63.914323675,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.14226818085,65.1875377317,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.15509796143,66.4607517885,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.16728401184,67.7339658452,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.17949914932,69.007179902,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.1922249794,70.2803939587,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.20521402359,71.5536080155,
rapidez, referencia, tiempo, pid,0.31396736404,0.33,4.21732401848,72.8268220722,
rapidez, referencia, tiempo, pid,0.420702614186,0.33,4.2265920639,-10,
rapidez, referencia, tiempo, pid,0.370702614186,0.33,4.23948407173,-10,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.2509021759,-10,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.26373410225,33.501300146,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.27577400208,34.2396417598,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.28675103188,34.9779833737,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.2993850708,35.7163249876,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.31236505508,36.4546666014,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.32436299324,37.1930082153,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.33665418625,37.9313498292,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.34951806068,38.669691443,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.36152601242,39.4080330569,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.37371706963,40.1463746708,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.38664317131,40.8847162846,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.39964699745,41.6230578985,
rapidez, referencia, tiempo, pid,0.320702614186,0.33,4.41310119629,42.3613995124,
